WAT naming,Device naming,Spec High,Target,Spec Low,Unit,NVL816,Naming1,Naming2,Naming
Rc_NMG,-Rc_NMG,219.2,131.6,44,ohm/sq,V,,,-Rc_NMG
Rc_PMG,-Rc_PMG,36.1,25.3,14.5,ohm/sq,V,,,-Rc_PMG
Rc_TMPC,-Rc_TMPC,0.027,0.01575,0.0045,ohm,V,,,-Rc_TMPC
Rc_TV1,-Rc_TV1,0.56,0.365,0.17,ohm,V,,,-Rc_TV1
Rc_TV2,-Rc_TV2,0.51,0.33,0.15,ohm,V,,,-Rc_TV2
Rc_V0,-Rc_V0,58.852,35,11.09,ohm,V,,,-Rc_V0
Rc_V1,-Rc_V1,34.861,20.7,6.497,ohm,V,,,-Rc_V1
Rc_V10,-Rc_V10,12.033,6.8585,1.684,ohm,V,,,-Rc_V10
Rc_V11,-Rc_V11,12.033,6.8585,1.684,ohm,V,,,-Rc_V11
Rc_V12,-Rc_V12,12.879,6.6075,0.336,ohm,V,,,-Rc_V12
Rc_V13,-Rc_V13,12.561,6.378,0.195,ohm,V,,,-Rc_V13
Rc_V14,-Rc_V14,12.561,6.378,0.195,ohm,V,,,-Rc_V14
Rc_V15,-Rc_V15,12.561,6.378,0.195,ohm,V,,,-Rc_V15
Rc_V16,-Rc_V16,3.5,2.2,0.9,ohm,V,,,-Rc_V16
Rc_V17,-Rc_V17,3.4,2.15,0.9,ohm,V,,,-Rc_V17
Rc_V2,-Rc_V2,45.334,26.577,7.82,ohm,V,,,-Rc_V2
Rc_V3H1,-Rc_V3H1,22.883,14.061,5.239,ohm,V,,,-Rc_V3H1
Rc_V3H2,-Rc_V3H2,22.883,14.061,5.239,ohm,V,,,-Rc_V3H2
Rc_V4H1,-Rc_V4H1,29.748,17.678,5.608,ohm,V,,,-Rc_V4H1
Rc_V4H2,-Rc_V4H2,29.748,17.678,5.608,ohm,V,,,-Rc_V4H2
Rc_V5,-Rc_V5,25.34,14.9655,4.591,ohm,V,,,-Rc_V5
Rc_V6,-Rc_V6,12.939,7.58,2.221,ohm,V,,,-Rc_V6
Rc_V7,-Rc_V7,12.033,6.8585,1.684,ohm,V,,,-Rc_V7
Rc_V8,-Rc_V8,12.033,6.8585,1.684,ohm,V,,,-Rc_V8
Rc_V9,-Rc_V9,12.033,6.8585,1.684,ohm,V,,,-Rc_V9
Rs_HR-TIN,-Rs_HR-TIN,725.8,630.45,535.1,ohm/sq,V,,,-Rs_HR-TIN
SPA_M0,-SPA_M0,20,13.95,7.9,V,V,,,-SPA_M0
SPA_M1,-SPA_M1,20,13.95,7.9,V,V,,,-SPA_M1
SPA_M10,-SPA_M10,20,17.45,14.9,V,V,,,-SPA_M10
SPA_M11,-SPA_M11,20,17.45,14.9,V,V,,,-SPA_M11
SPA_M12,-SPA_M12,20,17.45,14.9,V,V,,,-SPA_M12
SPA_M13,-SPA_M13,20,19.45,18.9,V,V,,,-SPA_M13
SPA_M14,-SPA_M14,20,19.45,18.9,V,V,,,-SPA_M14
SPA_M15,-SPA_M15,20,19.45,18.9,V,V,,,-SPA_M15
SPA_M16,-SPA_M16,20,19.45,18.9,V,V,,,-SPA_M16
SPA_M17,-SPA_M17,20,19.45,18.9,V,V,,,-SPA_M17
SPA_M18,-SPA_M18,20,19.45,18.9,V,V,,,-SPA_M18
SPA_M2,-SPA_M2,20,13.95,7.9,V,V,,,-SPA_M2
SPA_M3,-SPA_M3,20,13.95,7.9,V,V,,,-SPA_M3
SPA_M4,-SPA_M4,20,13.95,7.9,V,V,,,-SPA_M4
SPA_M5,-SPA_M5,20,14.3,8.6,V,V,,,-SPA_M5
SPA_M6,-SPA_M6,20,17.45,14.9,V,V,,,-SPA_M6
SPA_M7,-SPA_M7,20,17.45,14.9,V,V,,,-SPA_M7
